company,color,r,g,b
benefit,/benefit/makeup/lepper/leppestift/benefit-splashtint-moisturizing-dewy-lip-tint-11-slushie,201,43,41
benefit,/benefit/makeup/lepper/leppestift/benefit-splashtint-moisturizing-dewy-lip-tint-01-skinny-dip,228,118,101
benefit,/benefit/makeup/lepper/leppestift/benefit-california-kissin-colorbalm-moisturizing-lip-balm-peach-pink,247,247,247
benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-velvet-tint-cloud-fine,247,247,247
benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-velvet-tint-snuggle-up,247,247,247
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-03-blackberry,94,38,51
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-06-cranberry,139,37,49
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-26-sazan-nude,185,123,119
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-01-babe,172,57,86
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-lipstick-sandwash-pink,170,99,105
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-shine-intense-lipstick-bare-truth-paris-pink,214,95,83
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-mini-43-sweet-coral,152,69,63
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-lipstick-afternoon-tea,170,96,80
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-liquid-lipstick-3-downtime,163,71,80
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-liquid-lipstick-14-claret,146,52,65
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-liquid-lipstick-5-afternoon-tea,158,70,70
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-liquid-lipstick-1-lunch-date,202,75,89
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-lipstick-claret,127,47,40
bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-lipstick-bahama-brown2,149,80,89
