productType,company,brand,color,r,g,b
Lipstick,beautyact,/beautyact/makeup/lepper/leppestift/beautyact-stay-on-semi-matte-lipstick-time-for-truffles,/beautyact/makeup/lepper/leppestift/beautyact-stay-on-semi-matte-lipstick-mocha-to-go,184,85,106
Lipstick,beautyact,/beautyact/makeup/lepper/leppestift/beautyact-stay-on-semi-matte-lipstick-time-for-truffles,/beautyact/makeup/lepper/leppestift/beautyact-stay-on-semi-matte-lipstick-its-a-red-for-me,179,11,44
Lipstick,beautyact,/beautyact/makeup/lepper/leppestift/beautyact-stay-on-semi-matte-lipstick-time-for-truffles,/beautyact/makeup/lepper/leppestift/beautyact-stay-on-semi-matte-lipstick-lets-beige-out,254,175,141
Lipstick,benefit,/benefit/makeup/lepper/leppestift/benefit-playtint-cheek-lip-stain,/benefit/makeup/lepper/leppestift/benefit-playtint-cheek-lip-stain,247,247,247
Lipstick,benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-moisturizing-matte-lip-tint-02-cream-puff,/benefit/makeup/lepper/leppestift/benefit-plushtint-moisturizing-matte-lip-tint-02-cream-puff,230,142,138
Lipstick,benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-moisturizing-matte-lip-tint-02-cream-puff,/benefit/makeup/lepper/leppestift/benefit-plushtint-moisturizing-matte-lip-tint-06-pillow-play,226,135,148
Lipstick,benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-moisturizing-matte-lip-tint-02-cream-puff,/benefit/makeup/lepper/leppestift/benefit-plushtint-moisturizing-matte-lip-tint-10-french-toast,197,103,94
Lipstick,benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-moisturizing-matte-lip-tint-02-cream-puff,/benefit/makeup/lepper/leppestift/benefit-plushtint-moisturizing-matte-lip-tint-12-purrr,200,94,110
Lipstick,benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-moisturizing-matte-lip-tint-02-cream-puff,/benefit/makeup/lepper/leppestift/benefit-splashtint-moisturizing-dewy-lip-tint-21-summer-fling,189,72,78
Lipstick,benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-moisturizing-matte-lip-tint-02-cream-puff,/benefit/makeup/lepper/leppestift/benefit-plushtint-velvet-tint-teddy,247,247,247
Lipstick,benefit,/benefit/makeup/lepper/leppestift/benefit-splashtint-moisturizing-dewy-lip-tint-21-summer-fling,/benefit/makeup/lepper/leppestift/benefit-splashtint-moisturizing-dewy-lip-tint-03-fresh-squeezed,241,89,97
Lipstick,benefit,/benefit/makeup/lepper/leppestift/benefit-splashtint-moisturizing-dewy-lip-tint-21-summer-fling,/benefit/makeup/lepper/leppestift/benefit-splashtint-moisturizing-dewy-lip-tint-11-slushie,201,43,41
Lipstick,benefit,/benefit/makeup/lepper/leppestift/benefit-splashtint-moisturizing-dewy-lip-tint-21-summer-fling,/benefit/makeup/lepper/leppestift/benefit-splashtint-moisturizing-dewy-lip-tint-01-skinny-dip,228,118,101
Lipstick,benefit,/benefit/makeup/lepper/leppestift/benefit-california-kissin-colorbalm-moisturizing-lip-balm-peach-pink,/benefit/makeup/lepper/leppestift/benefit-california-kissin-colorbalm-moisturizing-lip-balm-peach-pink,247,247,247
Lipstick,benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-velvet-tint-teddy,/benefit/makeup/lepper/leppestift/benefit-plushtint-velvet-tint-cloud-fine,247,247,247
Lipstick,benefit,/benefit/makeup/lepper/leppestift/benefit-plushtint-velvet-tint-teddy,/benefit/makeup/lepper/leppestift/benefit-plushtint-velvet-tint-snuggle-up,247,247,247
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-03-blackberry,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-03-blackberry,94,38,51
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-03-blackberry,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-06-cranberry,139,37,49
